ResponseID,ResponseSet,IPAddress,StartDate,EndDate,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalDataReference,Finished,Status,Q1,Q2_1,Q2_2,Q2_3,Q2_-1,Q2_-2,Q3_1,Q3_2,Q3_3,Q3_4,Q4_1,Q4_2,Q4_3,Q4_4,Q5_1_1,Q5_1_2,Q5_1_-1,Q5_2_1,Q5_2_2,Q5_2_-1,Q5_3_1,Q5_3_2,Q5_3_-1,Q6_1_1,Q6_1_2,Q6_1_-1,Q6_1_-2,Q6_2_1,Q6_2_2,Q6_2_-1,Q6_2_-2,Q6_3_1,Q6_3_2,Q6_3_-1,Q6_3_-2,LocationLatitude,LocationLongitude,LocationAccuracy
ResponseID,ResponseSet,IPAddress,StartDate,EndDate,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalDataReference,Finished,Status,Indicate how you feel about squash,Check all statements you agree with-Squash are great,Check all statements you agree with-Squash are tolerable,Check all statements you agree with-Squash cause me anguish,Check all statements you agree with-No basis for evaluation,Check all statements you agree with-I've never had squash,Indicate how you feel about the following vegetables-Squash,Indicate how you feel about the following vegetables-Cucumbers,Indicate how you feel about the following vegetables-Zucchini,Indicate how you feel about the following vegetables-Green beans,Indicate how you feel about the following vegetables-Squash,Indicate how you feel about the following vegetables-Cucumbers,Indicate how you feel about the following vegetables-Zucchini,Indicate how you feel about the following vegetables-Green beans,Please select when you participated in the following activities during your lifetime-ate baby food-1st Year,Please select when you participated in the following activities during your lifetime-ate baby food-2nd Year,Please select when you participated in the following activities during your lifetime-ate baby food-Did not participate,Please select when you participated in the following activities during your lifetime-crawled around on the floow-1st Year,Please select when you participated in the following activities during your lifetime-crawled around on the floow-2nd Year,Please select when you participated in the following activities during your lifetime-crawled around on the floow-Did not participate,Please select when you participated in the following activities during your lifetime-considered deeply the meaning of life-1st Year,Please select when you participated in the following activities during your lifetime-considered deeply the meaning of life-2nd Year,Please select when you participated in the following activities during your lifetime-considered deeply the meaning of life-Did not participate,Please select when you participated in the following activities during your lifetime-ate baby food-1st Year,Please select when you participated in the following activities during your lifetime-ate baby food-2nd Year,Please select when you participated in the following activities during your lifetime-ate baby food-Did not participate,Please select when you participated in the following activities during your lifetime-ate baby food-Prefer not to Answer,Please select when you participated in the following activities during your lifetime-crawled around on the floow-1st Year,Please select when you participated in the following activities during your lifetime-crawled around on the floow-2nd Year,Please select when you participated in the following activities during your lifetime-crawled around on the floow-Did not participate,Please select when you participated in the following activities during your lifetime-crawled around on the floow-Prefer not to Answer,Please select when you participated in the following activities during your lifetime-considered deeply the meaning of life-1st Year,Please select when you participated in the following activities during your lifetime-considered deeply the meaning of life-2nd Year,Please select when you participated in the following activities during your lifetime-considered deeply the meaning of life-Did not participate,Please select when you participated in the following activities during your lifetime-considered deeply the meaning of life-Prefer not to Answer,LocationLatitude,LocationLongitude,LocationAccuracy
{'ImportId': 'responseId'},{'ImportId': 'responseSetId'},{'ImportId': 'ipAddress'},{'ImportId': 'startDate'},{'ImportId': 'endDate'},{'ImportId': 'panel-RecipientLastName'},{'ImportId': 'panel-RecipientFirstName'},{'ImportId': 'panel-RecipientEmail'},{'ImportId': 'panel-ExternalDataReference'},{'ImportId': 'finished'},{'ImportId': 'status'},{'ImportId': 'QID1'},{'ImportId': 'QID2-1'},{'ImportId': 'QID2-2'},{'ImportId': 'QID2-3'},{'ImportId': 'QID2-4'},{'ImportId': 'QID2-5'},{'ImportId': 'QID3-1'},{'ImportId': 'QID3-2'},{'ImportId': 'QID3-3'},{'ImportId': 'QID3-4'},{'ImportId': 'QID4-1'},{'ImportId': 'QID4-2'},{'ImportId': 'QID4-3'},{'ImportId': 'QID4-4'},{'ImportId': 'QID5-1-1'},{'ImportId': 'QID5-1-2'},{'ImportId': 'QID5-1-3'},{'ImportId': 'QID5-2-1'},{'ImportId': 'QID5-2-2'},{'ImportId': 'QID5-2-3'},{'ImportId': 'QID5-3-1'},{'ImportId': 'QID5-3-2'},{'ImportId': 'QID5-3-3'},{'ImportId': 'QID6-1-1'},{'ImportId': 'QID6-1-2'},{'ImportId': 'QID6-1-3'},{'ImportId': 'QID6-1-4'},{'ImportId': 'QID6-2-1'},{'ImportId': 'QID6-2-2'},{'ImportId': 'QID6-2-3'},{'ImportId': 'QID6-2-4'},{'ImportId': 'QID6-3-1'},{'ImportId': 'QID6-3-2'},{'ImportId': 'QID6-3-3'},{'ImportId': 'QID6-3-4'},{'ImportId': 'Location-LocationLatitude'},{'ImportId': 'Location-LocationLongitude'},{'ImportId': 'Location-LocationAccuracy'}
R_ebopwASnJ6p0KSp,Default Response Set,,2016-06-24 14:27:08,2016-06-24 14:27:08,,,,,1,2,3,,1,1,1,,-1,3,3,1,3,-2,-1,-2,,1,,1,,1,1,,,,,,1,,,,1,1,1,1,1,42.401901245117,-71.119300842285,-1
R_9mZ86nFH0t9KX6l,Default Response Set,,2016-06-24 14:27:08,2016-06-24 14:27:08,,,,,1,2,3,1,1,1,1,,2,3,2,3,2,1,1,2,1,,,1,1,1,1,,1,1,1,,1,,,1,,1,,,,42.401901245117,-71.119300842285,-1
R_6FNzHBiAGDCdM4B,Default Response Set,,2016-06-24 14:27:08,2016-06-24 14:27:08,,,,,1,2,1,1,1,1,,,3,-1,-1,2,-1,3,-1,2,1,1,1,1,,,,1,1,,1,,1,1,,,,,,1,1,42.401901245117,-71.119300842285,-1
R_diNwdECk6BEVBWZ,Default Response Set,,2016-06-24 14:27:08,2016-06-24 14:27:08,,,,,1,2,1,1,1,1,1,1,-1,-1,2,3,3,2,2,-2,1,1,,1,,,1,1,1,1,1,1,1,1,,,,1,1,1,1,42.401901245117,-71.119300842285,-1
R_3PqO8Mmwyje46uV,Default Response Set,,2016-06-24 14:27:08,2016-06-24 14:27:08,,,,,1,2,3,,1,1,,,1,2,-1,3,-1,1,1,3,1,,1,1,,,,1,1,1,1,1,1,,,,1,,1,1,1,42.401901245117,-71.119300842285,-1
R_0dH3DSZjRHe9fGl,Default Response Set,,2016-06-24 14:27:09,2016-06-24 14:27:09,,,,,1,2,-1,1,1,,,,1,-1,2,-1,-2,-1,-2,1,1,,1,1,,,1,1,1,1,1,,,1,1,1,1,1,1,,1,42.401901245117,-71.119300842285,-1
R_cOdOZnN9lYDQicR,Default Response Set,,2016-06-24 14:27:09,2016-06-24 14:27:09,,,,,1,2,3,1,,1,,,1,1,2,3,-2,-2,-2,2,1,,,1,1,1,1,,1,1,,,1,1,,,1,1,,,,42.401901245117,-71.119300842285,-1
R_1RmBFQANG2Su94F,Default Response Set,,2016-06-24 14:27:09,2016-06-24 14:27:09,,,,,1,2,1,1,,,1,1,3,1,-1,2,-1,2,2,-2,1,,,1,1,1,,1,1,1,,1,1,1,1,,1,1,1,1,1,42.401901245117,-71.119300842285,-1
R_9tdJaY19Ne32HM9,Default Response Set,,2016-06-24 14:27:09,2016-06-24 14:27:09,,,,,1,2,-1,,1,1,1,,2,2,2,2,1,3,3,-1,1,1,,1,1,1,1,,1,1,1,1,,1,1,1,1,1,,,,42.401901245117,-71.119300842285,-1
R_3fQX2VyNw450YG9,Default Response Set,,2016-06-24 14:27:09,2016-06-24 14:27:09,,,,,1,2,3,,,,1,1,-1,3,3,3,-1,-1,-1,3,1,,,1,,1,1,1,1,1,1,1,1,,1,,,1,,1,1,42.401901245117,-71.119300842285,-1
R_4YMDEHl4OxNj6v3,Default Response Set,,2016-06-24 14:27:09,2016-06-24 14:27:09,,,,,1,2,2,,,,1,1,3,3,3,-1,3,3,-2,-1,1,,1,1,1,1,,1,1,1,1,,,1,,,,1,,1,1,42.401901245117,-71.119300842285,-1
R_emoLed7cY1OcoTz,Default Response Set,,2016-06-24 14:27:09,2016-06-24 14:27:09,,,,,1,2,2,1,,,1,1,2,1,2,-1,3,-2,2,2,,,1,1,1,1,1,,,,1,,,1,,1,1,1,,,,42.401901245117,-71.119300842285,-1
