V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,Q1,Q2_1,Q2_2,Q2_3,Q2_4,Q2_5,Q3_1,Q3_2,Q3_3,Q3_4,Q4_1,Q4_2,Q4_3,Q4_4,Q5_1_1,Q5_1_2,Q5_1_3,Q5_2_1,Q5_2_2,Q5_2_3,Q5_3_1,Q5_3_2,Q5_3_3,Q6_1_1,Q6_1_2,Q6_1_3,Q6_1_4,Q6_2_1,Q6_2_2,Q6_2_3,Q6_2_4,Q6_3_1,Q6_3_2,Q6_3_3,Q6_3_4,LocationLatitude,LocationLongitude,LocationAccuracy,
ResponseID,ResponseSet,Name,ExternalDataReference,EmailAddress,IPAddress,Status,StartDate,EndDate,Finished,Indicate how you feel about squash,Check all statements you agree with-Squash are great,Check all statements you agree with-Squash are tolerable,Check all statements you agree with-Squash cause me anguish,Check all statements you agree with-No basis for evaluation,Check all statements you agree with-I've never had squash,Indicate how you feel about the following vegetables-Squash,Indicate how you feel about the following vegetables-Cucumbers,Indicate how you feel about the following vegetables-Zucchini,Indicate how you feel about the following vegetables-Green beans,Indicate how you feel about the following vegetables-Squash,Indicate how you feel about the following vegetables-Cucumbers,Indicate how you feel about the following vegetables-Zucchini,Indicate how you feel about the following vegetables-Green beans,Please select when you participated in the following activities during your lifetime-ate baby food-1st Year,Please select when you participated in the following activities during your lifetime-ate baby food-2nd Year,Please select when you participated in the following activities during your lifetime-ate baby food-Did not participate,Please select when you participated in the following activities during your lifetime-crawled around on the floow-1st Year,Please select when you participated in the following activities during your lifetime-crawled around on the floow-2nd Year,Please select when you participated in the following activities during your lifetime-crawled around on the floow-Did not participate,Please select when you participated in the following activities during your lifetime-considered deeply the meaning of life-1st Year,Please select when you participated in the following activities during your lifetime-considered deeply the meaning of life-2nd Year,Please select when you participated in the following activities during your lifetime-considered deeply the meaning of life-Did not participate,Please select when you participated in the following activities during your lifetime-ate baby food-1st Year,Please select when you participated in the following activities during your lifetime-ate baby food-2nd Year,Please select when you participated in the following activities during your lifetime-ate baby food-Did not participate,Please select when you participated in the following activities during your lifetime-ate baby food-Prefer not to Answer,Please select when you participated in the following activities during your lifetime-crawled around on the floow-1st Year,Please select when you participated in the following activities during your lifetime-crawled around on the floow-2nd Year,Please select when you participated in the following activities during your lifetime-crawled around on the floow-Did not participate,Please select when you participated in the following activities during your lifetime-crawled around on the floow-Prefer not to Answer,Please select when you participated in the following activities during your lifetime-considered deeply the meaning of life-1st Year,Please select when you participated in the following activities during your lifetime-considered deeply the meaning of life-2nd Year,Please select when you participated in the following activities during your lifetime-considered deeply the meaning of life-Did not participate,Please select when you participated in the following activities during your lifetime-considered deeply the meaning of life-Prefer not to Answer,LocationLatitude,LocationLongitude,LocationAccuracy,
R_ebopwASnJ6p0KSp,Default Response Set,Anonymous,,,,2,2016-06-24 12:27:08,2016-06-24 12:27:08,1,3,,1,1,1,,-1,3,3,1,3,-2,-1,-2,,1,,1,,1,1,,,,,,1,,,,1,1,1,1,1,42.401901245117,-71.119300842285,-1,
R_9mZ86nFH0t9KX6l,Default Response Set,Anonymous,,,,2,2016-06-24 12:27:08,2016-06-24 12:27:08,1,3,1,1,1,1,,2,3,2,3,2,1,1,2,1,,,1,1,1,1,,1,1,1,,1,,,1,,1,,,,42.401901245117,-71.119300842285,-1,
R_6FNzHBiAGDCdM4B,Default Response Set,Anonymous,,,,2,2016-06-24 12:27:08,2016-06-24 12:27:08,1,1,1,1,1,,,3,-1,-1,2,-1,3,-1,2,1,1,1,1,,,,1,1,,1,,1,1,,,,,,1,1,42.401901245117,-71.119300842285,-1,
R_diNwdECk6BEVBWZ,Default Response Set,Anonymous,,,,2,2016-06-24 12:27:08,2016-06-24 12:27:08,1,1,1,1,1,1,1,-1,-1,2,3,3,2,2,-2,1,1,,1,,,1,1,1,1,1,1,1,1,,,,1,1,1,1,42.401901245117,-71.119300842285,-1,
R_3PqO8Mmwyje46uV,Default Response Set,Anonymous,,,,2,2016-06-24 12:27:08,2016-06-24 12:27:08,1,3,,1,1,,,1,2,-1,3,-1,1,1,3,1,,1,1,,,,1,1,1,1,1,1,,,,1,,1,1,1,42.401901245117,-71.119300842285,-1,
R_0dH3DSZjRHe9fGl,Default Response Set,Anonymous,,,,2,2016-06-24 12:27:09,2016-06-24 12:27:09,1,-1,1,1,,,,1,-1,2,-1,-2,-1,-2,1,1,,1,1,,,1,1,1,1,1,,,1,1,1,1,1,1,,1,42.401901245117,-71.119300842285,-1,
R_cOdOZnN9lYDQicR,Default Response Set,Anonymous,,,,2,2016-06-24 12:27:09,2016-06-24 12:27:09,1,3,1,,1,,,1,1,2,3,-2,-2,-2,2,1,,,1,1,1,1,,1,1,,,1,1,,,1,1,,,,42.401901245117,-71.119300842285,-1,
R_1RmBFQANG2Su94F,Default Response Set,Anonymous,,,,2,2016-06-24 12:27:09,2016-06-24 12:27:09,1,1,1,,,1,1,3,1,-1,2,-1,2,2,-2,1,,,1,1,1,,1,1,1,,1,1,1,1,,1,1,1,1,1,42.401901245117,-71.119300842285,-1,
R_9tdJaY19Ne32HM9,Default Response Set,Anonymous,,,,2,2016-06-24 12:27:09,2016-06-24 12:27:09,1,-1,,1,1,1,,2,2,2,2,1,3,3,-1,1,1,,1,1,1,1,,1,1,1,1,,1,1,1,1,1,,,,42.401901245117,-71.119300842285,-1,
R_3fQX2VyNw450YG9,Default Response Set,Anonymous,,,,2,2016-06-24 12:27:09,2016-06-24 12:27:09,1,3,,,,1,1,-1,3,3,3,-1,-1,-1,3,1,,,1,,1,1,1,1,1,1,1,1,,1,,,1,,1,1,42.401901245117,-71.119300842285,-1,
R_4YMDEHl4OxNj6v3,Default Response Set,Anonymous,,,,2,2016-06-24 12:27:09,2016-06-24 12:27:09,1,2,,,,1,1,3,3,3,-1,3,3,-2,-1,1,,1,1,1,1,,1,1,1,1,,,1,,,,1,,1,1,42.401901245117,-71.119300842285,-1,
R_emoLed7cY1OcoTz,Default Response Set,Anonymous,,,,2,2016-06-24 12:27:09,2016-06-24 12:27:09,1,2,1,,,1,1,2,1,2,-1,3,-2,2,2,,,1,1,1,1,1,,,,1,,,1,,1,1,1,,,,42.401901245117,-71.119300842285,-1,
R_6D2hcZIh63E8A4d,Default Response Set,Anonymous,,,,2,2016-06-24 12:27:09,2016-06-24 12:27:09,1,2,1,1,,1,1,-1,-1,3,1,1,-2,1,-1,1,1,1,,1,,1,,,1,1,,1,,1,1,,1,1,1,1,42.401901245117,-71.119300842285,-1,
R_bC6Ecf6yG5YhHnv,Default Response Set,Anonymous,,,,2,2016-06-24 12:27:09,2016-06-24 12:27:10,1,3,1,1,1,1,1,3,3,2,1,3,1,2,-1,,,1,1,1,,,1,1,1,1,1,,1,1,1,1,1,,1,1,42.401901245117,-71.119300842285,-1,
R_cMkftXWgl0BWu0Z,Default Response Set,Anonymous,,,,2,2016-06-24 12:27:10,2016-06-24 12:27:10,1,3,,1,1,,1,-1,3,-1,-1,2,-2,-1,3,1,1,,1,1,1,1,1,1,1,1,1,1,,1,,,1,1,1,1,42.401901245117,-71.119300842285,-1,
